stopId,stopName,stopStandardId,stopX,stopY,reMark
30693,BYC,312100693,127.00796999,35.82071324,
30690,BYC,312100690,127.00778106,35.82043092,
30683,CTS전북방송,305100683,127.14640711,35.8199967,
36215,JTV전주방송,305032323,127.0826759,35.8460525,
36214,JTV전주방송,305032322,127.0829642,35.8459724,
31049,KT북전주지점,306101050,127.12318242,35.84292878,KT북전주지점앞
31052,KT북전주지점,306101053,127.12308347,35.84310173,KT길건너
30912,KT정보센터,305100912,127.11855733,35.83375079,
36274,LS엠트론엔진공장,312900002,127.1179573,35.9698093,
36270,LS엠트론엔진공장,312032801,127.1181823,35.9698397,
36353,TBN전주교통방송,305032419,127.0814974,35.8480058,
36352,TBN전주교통방송,305032418,127.0810328,35.847896,
31432,cbs기독교방송,306101433,127.05519734,35.87469125,
36002,test0722,305032313,127.2396643,35.9441492,test0722
36004,test0722-2,306032302,127.2444817,35.9424645,
30600,test0817,306900001,127.2415512,35.9424961,test0817
30004,가는정이,316100004,127.10395792,35.59382187,
30005,가는정이,316100005,127.10387372,35.59397733,
31077,가련산로.원대한방병원,306101078,127.11554857,35.84538482,가련광장방향
31082,가련산로.원대한방병원,306101083,127.11545638,35.84571856,하가지구방향
30936,가리내로 백제교,306100936,127.12462519,35.83489768,터미널방향
30946,가리내로 백제교,306100946,127.12591932,35.83487104,백제교방향
31157,가소마을,306101158,127.19053678,35.85284536,
31158,가소마을,306101159,127.19046187,35.85298416,
32420,가정.봉판마을,312032420,127.19030753,36.03872776,
32419,가정.봉판마을,312032419,127.19037301,36.03883636,
31585,간중초교,312101586,127.18141087,35.89163192,
31587,간중초교,312101588,127.18160281,35.89181831,
31073,갈동마을,312101074,127.04562061,35.84491779,
31070,갈동마을,312101071,127.04554711,35.84478138,
31703,갈리마을,312101704,127.14783481,35.91581423,
31705,갈리마을,312101706,127.14778834,35.91594135,
32166,갈전,312032166,127.21540233,35.84511266,
32167,갈전,312032167,127.21524772,35.8450756,
31353,감수리,306101354,127.09991732,35.86663278,
31354,감수리,306101355,127.09995713,35.86702965,
36387,감수리주유소,305032453,127.1005553,35.865332,
36386,감수리주유소,305032452,127.1006158,35.8654224,
36518,강림교회,305032584,127.1415899,35.8401063,
36517,강림교회,305032583,127.1414516,35.8400743,
30744,개태마을,312100744,127.03334832,35.8226376,
30715,개태마을,312100715,127.0312898,35.8218052,
32389,갱금.오복마을,312032389,127.24747726,36.02095623,
32390,갱금.오복마을,312032390,127.24732057,36.02109946,
30504,거마평로안행교,305100504,127.11661714,35.80577968,전주마트
30580,거마평로이동교,305100580,127.11299794,35.81342648,시청방향
30576,거마평로이동교,305100576,127.11388786,35.81288005,전주대방향
32411,거사리마을,312032411,127.22844773,36.04671223,
32412,거사리마을,312032412,127.22835701,36.04690993,
32022,거산황궁아파트,305102022,127.15251646,35.80588599,남고사방향
30907,거성고속맨션.자원봉사센터.고속버스터미널입구,306100907,127.12760002,35.83348524,터미널방향
30909,거성고속맨션.자원봉사센터.고속버스터미널입구,306100909,127.12722363,35.8335539,서신교방향
32082,건지광장,306032082,127.1287653,35.8467267,신정문방향
36309,건지산이지움,305032375,127.1477652,35.8453963,
30975,경기장거성아파트,306100976,127.12143588,35.83700157,법원방향
30973,경기장거성아파트,306100973,127.12108885,35.83689022,백제교방향
30776,경찰청,305100776,127.1048341,35.82542716,전주대방향
30766,경찰청,305100766,127.10481248,35.82516699,시청방향
32391,경천면사무소,312032391,127.25226028,36.02199559,
32392,경천면사무소,312032392,127.25192525,36.02222783,
32388,경천저수지,312032388,127.23856854,36.01978241,
32387,경천저수지,312032387,127.23861413,36.01965652,
30510,계월리,312100510,127.24494863,35.8058649,
30513,계월리,312100513,127.24542755,35.80601225,
31445,고당마을,306101446,127.15112865,35.87540405,
36573,고덕마을,305032639,127.1786263,35.7888747,
36572,고덕마을,305032638,127.178698,35.7889245,
31011,고려병원,306101012,127.16748582,35.83923015,고려병원맞은편
31014,고려병원,306101015,127.16745218,35.83951413,고려병원앞
36441,고려온천아파트,305032507,127.0537998,35.9240826,
31745,고려온천아파트,308101746,127.0537551,35.9241455,
31746,고려온천아파트입구,308101747,127.0532862,35.9237561,
31943,고산고입구,312101944,127.20114092,35.97611364,
31942,고산고입구,312101943,127.20105277,35.97591272,
32241,고산농협,312132241,127.20494746,35.97549192,
36320,고산농협,305032386,127.2044494,35.9753476,
32417,고산사거리,312032417,127.20728256,35.9770131,
32418,고산사거리,312032418,127.2073242,35.97728377,
36401,고산사입구,305032467,127.2059475,35.9350544,
36402,고산사입구,305032468,127.2060639,35.9350547,
36001,고산새마을금고,312032670,127.2084186,35.9745874,고산새마을금고
36007,고산새마을금고,312032673,127.2085178,35.9747589,
36008,고산성당,312032674,127.2108344,35.9751883,
36005,고산성당,312032671,127.2108903,35.9750802,고산새마을금고2
36021,고산시장,312032687,127.204958,35.9745879,
36020,고산시장,312032686,127.2051465,35.9746064,
31902,고산신기마을,312101903,127.18059075,35.96095614,
31901,고산신기마을,312101902,127.18077551,35.96087152,
36099,고산자연휴양림입구,312032765,127.2309205,35.9752431,
36098,고산자연휴양림입구,312032764,127.2310212,35.9749999,
32322,고산창포마을,312032322,127.26006699,35.98802108,
31936,고산터미널,312101937,127.20695051,35.9748106,
31937,고산터미널,312101938,127.20581534,35.97519123,
30925,고속버스터미널.불교회관,306100925,127.13009436,35.8343029,노동회관앞
30918,고속버스터미널.불교회관,306100918,127.13054921,35.83390745,노동회관길건너
30954,고속버스터미널후문,306100954,127.12958796,35.83569905,터미널앞
30952,고속버스터미널후문,306100952,127.1290611,35.8356764,터미널길건너
30937,고용노동부전주지청,306100937,127.16497601,35.83496455,맞은편
30945,고용노동부전주지청,306100945,127.1649914,35.8351482,앞
31597,고잔,306101598,127.02458106,35.89259892,
31593,고잔,306101594,127.0244804,35.89222628,
31686,고천마을,312101687,127.13986012,35.91286372,
31689,고천마을,312101690,127.13977806,35.91300145,
36501,곡천마을,305032567,127.0330693,35.8863494,
36502,곡천마을,305032568,127.032913,35.8865471,
31179,공단주유소,306101180,127.08900255,35.8540248,
31190,공단주유소,306101191,127.0884193,35.8538749,
30497,공수내다리,305100497,127.14953021,35.80524638,시청방향
30511,공수내다리,305100511,127.14952214,35.80600343,평화동방향
32204,공술마을,312032204,126.97936655,35.88115799,외곽
32205,공술마을,312032205,126.97921314,35.88103051,시내방향
31772,과학로 청완초교,312101773,127.12499475,35.92790433,
31771,과학로 청완초교,312101772,127.1253209,35.9289018,
36474,과학로완주소방서,305032540,127.1252694,35.92571,
36473,과학로완주소방서,305032539,127.1247817,35.9257085,
36074,관덕마을,312032740,127.2071535,35.9852862,
36075,관덕마을,312032741,127.2069755,35.985403,
30638,관암마을,306100638,127.1823042,35.8164993,시내방향
30635,관암마을,306100635,127.1818402,35.8162727,외곽방향
36236,관전마을,305032342,127.1892934,35.8721958,
31411,관전마을,312101412,127.18909117,35.87233167,
30043,관촌시장,316100043,127.26851128,35.67670354,
30044,관촌시장,316100044,127.2686781,35.67680568,
30042,관촌터미널,316100042,127.26968769,35.6733015,
30041,관촌터미널,316100041,127.27006803,35.67326476,
30921,광진선수촌아파트,305100921,127.11787983,35.83396213,
30051,교동마을,312100051,127.11524579,35.68509328,
30050,교동마을,312100050,127.115395,35.68500367,
32014,교육대학교,305102014,127.15401613,35.81048588,싸전다리방향
32019,교육대학교,305102019,127.15334569,35.80901653,무궁화탕(바로앞1
36394,교육대학교,305032460,127.1532378,35.808757,
32304,교육대학교전주천서로,305032304,127.15403064,35.81016151,승암교방향
30220,구덕마을,305100220,127.07863257,35.76933959,
30221,구덕마을,305100221,127.07841406,35.76946892,
36038,구라마을,312032704,127.1780362,36.0337712,
36037,구라마을,312032703,127.1779812,36.0336448,
31656,구만리,312101657,127.15813098,35.90832815,
31661,구만리,312101662,127.15814036,35.90907386,
31816,구봉동읍사무소,312101817,127.16218734,35.93688778,
31815,구봉동읍사무소,312101816,127.16169754,35.93646965,
32070,구사마을,312132070,127.03056249,35.85331005,초남마을방향
32071,구사마을,312032071,127.03034143,35.85328123,득정마을방향
36066,구상마을,312032732,127.1942824,36.0061575,
36067,구상마을,312032733,127.1942216,36.0060852,
36535,구숙사공원,305032601,127.1472735,35.8418858,
36536,구숙사공원,305032602,127.1472064,35.8420298,
30415,구암,311100415,127.01882666,35.79870643,
30410,구암,311100410,127.01866907,35.79861279,
30134,구암리,312100134,127.14049246,35.74132942,
30131,구암리,312100131,127.14031486,35.74119258,
31370,구억마을,312101371,127.16480495,35.86822038,
31369,구억마을,312101370,127.16464154,35.86818835,
31311,구억정미소,312101312,127.17076223,35.86379562,
31308,구억정미소,312101309,127.17070131,35.86367829,
30110,구이면사무소,312100110,127.11982075,35.73152551,
30113,구이면사무소,312100113,127.12006301,35.73183549,
30040,구이신기마을,312100040,127.11278101,35.67555652,
30039,구이신기마을,312100039,127.11241915,35.67531501,
30121,구이중,312100121,127.120204,35.73424408,
30120,구이중,312100120,127.12044955,35.7342099,
30101,구이중앙교회,312100101,127.11997139,35.72446397,
30100,구이중앙교회,312100100,127.1202636,35.72401766,
30092,구이초교,312100092,127.12030727,35.72118644,
30093,구이초교,312100093,127.12043044,35.722048,
36029,구재마을,312032695,127.2714923,36.0398866,
36030,구재마을,312032696,127.2714145,36.0399134,
31866,구정마을,312101867,127.1118702,35.95097624,
31865,구정마을,312101866,127.1117425,35.95083037,
31537,구중리,306101538,127.0772,35.8846204,
31538,구중리,306101539,127.07695309,35.88533194,
36086,구중마을,312032752,127.1984639,36.0051538,
36087,구중마을,312032753,127.1990411,36.0051101,
36072,구하마을,312032738,127.2031446,36.0041827,
36073,구하마을,312032739,127.2032227,36.0040477,
32212,국립농업과학원,312032212,127.04130335,35.83339726,
32213,국립농업과학원,312032213,127.04095072,35.83326827,
32012,국립무형유산원,305102012,127.15718728,35.81075971,싸전다리방향
32305,국립무형유산원,305032305,127.15871713,35.81064505,승암교방향
30543,국립무형유산원,305100543,127.1581505,35.8091633,좁은목방향
32279,국립식량과학원,312032279,127.04786527,35.8376419,
32280,국립식량과학원,312032280,127.04813327,35.83744573,
32264,국립원예특작과학원,312032264,127.03331339,35.83511782,시내방향
32263,국립원예특작과학원,312032263,127.03357616,35.83535427,지방행정연수원?
32288,국립축산과학원,305032288,127.06056845,35.82540047,
30751,국립축산과학원,305100751,127.06391654,35.82490383,
32289,국립축산과학원,305032289,127.06261063,35.82678639,
36606,국민연금 기금운용본부,305032672,127.0696952,35.8355877,
36607,국민연금 기금운용본부,305032673,127.0689429,35.8354768,
36514,국민연금공단,305032580,127.0719831,35.8361459,
36513,국민연금공단,305032579,127.0722382,35.8360747,
32155,국민연금공단,306032155,127.0701188,35.8387692,
32156,국민연금공단,306032156,127.0702416,35.8385803,
30992,국민은행금암지점,306100993,127.13141174,35.8379584,
32318,국제재활원,312032318,127.23865453,35.9894017,
31590,굴신마을,306101591,127.04542411,35.89208305,
31588,굴신마을,306101589,127.04540731,35.89195941,
30642,근영여고,305100642,127.12264333,35.81698235,효자광장방향
30647,근영여고,305100647,127.12326236,35.81746507,빙상경기장방향
31825,금강고려화학,312101826,127.12563217,35.93881728,
31828,금강고려화학,312101829,127.12513539,35.93950364,
36102,금곡,312032768,127.187932,36.0025068,
36103,금곡,312032769,127.1878771,36.0023714,
30228,금구,311100228,127.00785721,35.77167081,
30232,금구,311100232,127.00797762,35.77177094,
30243,금구면사무소,311100243,127.01113284,35.77418989,
30242,금구면사무소,311100242,127.01104537,35.77410805,
30260,금구파출소,311100260,127.0109081,35.7756021,
30261,금구파출소,311100261,127.0110298,35.7757803,
30087,금산사,311100087,127.03981679,35.7189048,
30086,금산사,311100086,127.03978712,35.71874757,
31012,금상동,306101013,127.1931949,35.83934701,
31013,금상동,306101014,127.19317527,35.83944993,
36564,금상동보건소,305032630,127.1854903,35.8397432,
36565,금상동보건소,305032631,127.1855898,35.839766,
31075,금상동성당,306101076,127.18042152,35.84498335,
31076,금상동성당,306101077,127.18129329,35.84501386,
36537,금성교회,305032603,127.1509498,35.8431498,
36538,금성교회,305032604,127.1510224,35.8430237,
30199,금성마을,305100199,127.1258251,35.76465935,
30200,금성마을,305100200,127.12562776,35.76466046,
31393,금성자동차학원,312101394,127.16351897,35.87069764,
31396,금성자동차학원,312101397,127.16381439,35.87077149,
30969,금암1동주민센터,306100969,127.13363898,35.83678745,
36519,금암2동주민센터,305032585,127.1422854,35.8381023,
36520,금암2동주민센터,305032586,127.142391,35.8380215,
30911,금암광장,306100911,127.1373989,35.8330062,분리승강장(5-2)
30915,금암광장.청담한방병원,306100915,127.13642739,35.83369489,충경로방향
36522,금암시립도서관,305032588,127.140352,35.8359191,
36521,금암시립도서관,305032587,127.1401833,35.8360061,
30964,금암시립도서관,306100964,127.1371527,35.83642889,외곽방향
31010,금암중앙하이츠,306101011,127.13831493,35.83893341,외곽방향
30995,금암중앙하이츠,306100996,127.13769274,35.83806254,시청방향
30968,금암초교입구,306100968,127.1369206,35.83655958,시청방향
30326,금천,311100326,127.04200605,35.79066021,
30327,금천,311100327,127.0416865,35.79072359,
31035,금하마을,306101036,127.18588406,35.84144892,
31037,금하마을,306101038,127.18600106,35.84161492,
