brtId,brtStdId,brtClass,brtDirection,brtSubId,brtSname,brtEname,brtBusNum,brtFirstTime,brtLastTime,brtNeedTime,brtMininTerVal,brtMaxinTerVal,brtIlreginTerValYn,stopStandardId,Lkey
88,305200572,0,2,0,중인동,감수리,,603,2200,,27,42,,,
31,305001066,0,2,0,원구암,삼례터미널,,800,1200,,,,,,
31,305001415,0,2,A,원구암,삼례터미널,,1400,2000,,,,,,
31,305001067,0,2,C,별산리,삼례터미널,,630,630,,,,,,
55,305001110,0,2,0,오천마을,평화동종점,,708,1948,,,,,,
54,305001108,0,2,0,완주군청,평화동종점,,610,2035,,,,,,
55,305200829,0,2,A,완주군청,평화동종점,,2135,2135,,75,80,,,
5,305001273,1,1,0,전북대종점,전북대종점,,628,2202,,,,,,
79,305001128,0,2,0,금산사,전주역종점,,653,2230,,,,,,
5,305001275,1,1,A,전북대종점,근영여고,,2235,2235,,,,,,
61,305001119,0,1,0,비전대학교,전주대학교,,605,2210,,,,,,
61,305001289,0,1,B,비전대학교,서곡주공,,2230,2230,,,,,,
61,305001290,0,1,A,중앙시장.세이브존,전주대학교,,615,615,,,,,,
31,305001467,1,1,0,어린이창의체험관,모래내시장,,630,2130,,,,,,
101,305200942,0,1,A,평화동종점,전북대학교.농협앞,,2205,2230,,25,55,,,
101,305001088,0,1,0,평화동종점,대성동종점,,605,2141,,,,,,
56,305001112,0,2,0,설경마을종점,평화동종점,,954,1924,,,,,,
513,305001194,0,2,0,양야리경로당,전주대학교,,621,2106,,,,,,
112,305001283,0,2,A,진조리종점,삼천동종점,,1200,1800,,,,,,
515,305001407,0,2,A,추동,전주대학교,0,756,1125,0,0,0,,,
81,305001516,0,1,A,소양,모래내시장,,620,620,,,,,,
872,305001376,0,2,A,전북체육고등학교종점,평화동종점,,1005,1640,,,,,,
56,305001284,0,2,A,용진주유소,평화동종점,,644,644,,,,,,
103,305001495,1,1,0,송천동종점,전주시양묘장,,605,2225,,,,,,
103,305001497,1,1,A,송천동종점,재전,,1555,1555,,,,,,
511,305000997,0,2,A,용화마을,전주대학교,,731,1835,,,,,,
515,305001196,0,2,0,추동,전주대학교,,1508,1855,,,,,,
55,305001110,0,2,0,오천마을,평화동종점,,708,1948,,,,,,
112,305001102,0,2,0,진조리종점,신덕마을,,600,2120,,,,,,
8,305001098,1,1,0,전북대종점,전북대종점,,625,2215,,,,,,
58,305001286,0,2,A,전당리,평화동종점,,906,2200,,,,,,
54,305001108,0,2,0,완주군청,평화동종점,,610,2035,,,,,,
535,305001200,0,2,0,고산터미널,전주대학교,,612,2212,,,,,,
58,305001116,0,2,0,터지내마을,평화동종점,,731,2015,,,,,,
817,305001236,0,2,0,월상리,평화동종점,,725,2126,,,,,,
81,305001515,0,1,0,모래내시장,소양,,850,1950,,,,,,
520,305001401,0,2,0,봉동주공아파트,전주대종점,0,650,2132,0,0,0,,,
337,305001147,0,2,0,우석대학교,아중제일2차아파트,,605,2230,,,,,,
871,305001248,0,2,0,동상,평화동종점,,645,2046,,,,,,
337,305001334,0,2,A,우석대학교,재전,,1455,1455,,,,,,
521,305001403,0,2,0,후와리,전주대종점,0,1019,1741,0,0,0,,,
119,305001296,0,1,A,전북대학교.농협앞,평화동종점,,610,610,,,,,,
119,305001294,0,1,C,전주대학교,모래내시장,,2220,2220,,,,,,
108,305001428,0,2,0,송천동종점,전주대학교,,600,2235,,,,,,
511,305001192,0,2,0,용화마을,전주대학교,,1439,2225,,,,,,
806,305001228,0,2,0,앞멀,평화동종점,,625,2026,,,,,,
522,305001198,0,2,0,둔산코아루2차아파트,전주대종점,,706,2155,,,,,,
872,305001250,0,2,0,장승리종점,평화동종점,,710,2030,,,,,,
541,305001204,0,2,0,신하리,전주대학교,,605,2038,,,,,,
543,305001208,0,2,0,코아루종점,전주대학교,,818,1919,,,,,,
55,305200829,0,2,A,완주군청,평화동종점,,2135,2135,,75,80,,,
57,305001114,0,2,0,설경마을종점,평화동종점,,819,2100,,,,,,
514,305001405,0,2,0,코아루종점,전주대학교,0,907,1619,0,0,0,,,
119,305001133,0,1,0,전주대학교,평화동종점,,600,2200,,21,22,,,
101,305001089,0,2,0,대성동종점,평화동종점,,623,2235,,,,,,
101,305001399,0,2,A,전북대학교.덕진성당앞,평화동종점,,605,605,,,,,,
3,305001271,1,1,0,전주대학교,전주대학교,,600,2145,,,,,,
3,305001010,1,1,C,전북대학교.농협앞,전주대학교,,600,600,,,,,,
33,305001072,0,1,0,삼례터미널,봉동주공아파트,,610,2010,,,,,,
511,305001191,0,1,0,전주대학교,용화마을,,924,2030,,,,,,
6,305001409,0,1,C,이편한세상 우아,전주대학교,,605,635,,,,,,
56,305001112,0,2,0,설경마을종점,평화동종점,,954,1924,,,,,,
112,305001283,0,2,A,진조리종점,삼천동종점,,1200,1800,,,,,,
554,305001214,0,2,0,둔산코아루2차아파트,삼천동종점,,623,2211,,,,,,
977,305001265,0,1,0,송천동종점,탑선마을,,755,1513,,,,,,
5,305001273,1,1,0,전북대종점,전북대종점,,628,2202,,,,,,
149,305001106,0,2,0,진조리,호동마을,,615,2130,,,,,,
88,305001130,0,1,0,감수리,중인동,,610,2215,,,,,,
834,305001238,0,2,0,약암마을,비전대학교,,714,2022,,,,,,
839,305001242,0,2,0,용문사.반곡마을,비전대학교,,633,1937,,,,,,
807,305001230,0,2,0,다리목,비전대학교,,902,2222,,,,,,
872,305001376,0,2,A,전북체육고등학교종점,평화동종점,,1005,1640,,,,,,
56,305001284,0,2,A,용진주유소,평화동종점,,644,644,,,,,,
165,305001141,0,1,0,전주동물원,국립식량과학원,,610,2225,,,,,,
149,305001396,0,2,A,진조리,삼천동종점,,925,1610,,,,,,
1994,305001432,0,2,0,기린대로 월드컵경기장,평화동종점,,1000,1000,,,,,,
546,305001212,0,2,0,백제대,평화동종점,,633,2115,,,,,,
725,305001221,0,1,0,하나로클럽,민목리,,825,2025,,,,,,
19,305001104,0,2,0,회룡마을,호동마을,,638,2210,,,,,,
131,305001138,0,2,0,진기마을종점,삼천동종점,,715,2048,,,,,,
816,305001373,0,2,A,다리목,비전대학교,,620,620,,,,,,
947,305200632,0,1,C,송천동종점,태봉마을,,,,,170,190,,,
814,305001232,0,2,0,인덕마을,비전대학교,,656,2142,,,,,,
55,305001110,0,2,0,오천마을,평화동종점,,708,1948,,,,,,
974,305300745,0,1,A,송천동종점,가는정이,,,,,0,0,,,
974,305300746,0,1,B,송천동종점,장작골,,1639,1639,,0,0,,,
354,305001304,0,2,A,우석대학교,비전대학교,,1021,2021,,,,,,
971,305001319,0,1,0,반월동 삼오아파트,전북도립미술관,,900,1038,,,,,,
87,305001129,0,1,0,송천동종점,원당리,,651,2151,,,,,,
112,305001102,0,2,0,진조리종점,신덕마을,,600,2120,,,,,,
58,305001286,0,2,A,전당리,평화동종점,,906,2200,,,,,,
54,305001108,0,2,0,완주군청,평화동종점,,610,2035,,,,,,
58,305001116,0,2,0,터지내마을,평화동종점,,731,2015,,,,,,
817,305001236,0,2,0,월상리,평화동종점,,725,2126,,,,,,
350,305001148,0,2,0,삼례터미널,평화동종점,,646,2200,,,,,,
19,305001394,0,2,A,회룡마을,삼천동종점,,947,1630,,,,,,
385,305001162,0,2,0,우석대학교,전주대학교,,614,2234,,,,,,
536,305001201,0,2,0,제촌,평화동종점,,700,2145,,,,,,
355,305300776,0,2,A,삼례터미널,전주대학교,,738,2058,,0,0,,,
559,305001216,0,2,0,둔산코아루2차아파트,삼천동종점,,600,2145,,,,,,
785,305001225,0,1,0,하나로클럽,정수리,,650,1850,,,,,,
946,305001253,0,1,0,송천동종점,상하보,,710,2048,,,,,,
1000,305001269,0,1,0,전주동물원,대성동종점,,650,2210,,,,,,
102,305001333,0,1,A,송천동종점,재전,,2220,2220,,,,,,
89,305001131,0,1,0,송천동종점,중인동,,624,2230,,,,,,
21,305001345,0,1,B,전북대학교.농협앞,모산종점,,610,610,,,,,,
816,305001234,0,2,0,일임리,비전대학교,,844,2202,,,,,,
837,305001240,0,2,0,응암마을,비전대학교,,1042,2042,,,,,,
814,305001381,0,2,A,인덕마을,비전대학교,,1819,1819,,,,,,
871,305001248,0,2,0,동상,평화동종점,,645,2046,,,,,,
380,305001156,0,2,0,우석대학교,평화동종점,,600,2220,,,,,,
430,305001499,0,2,0,백구,낙수정,,1005,2205,,,,,,
