stopName,stopX,stopY
BYC,127.00796999,35.82071324
BYC,127.00778106,35.82043092
CTS전북방송,127.14640711,35.8199967
JTV전주방송,127.0826759,35.8460525
JTV전주방송,127.0829642,35.8459724
KT북전주지점,127.12318242,35.84292878
KT북전주지점,127.12308347,35.84310173
KT정보센터,127.11855733,35.83375079
LS엠트론엔진공장,127.1179573,35.9698093
LS엠트론엔진공장,127.1181823,35.9698397
TBN전주교통방송,127.0814974,35.8480058
TBN전주교통방송,127.0810328,35.847896
cbs기독교방송,127.05519734,35.87469125
test0722,127.2396643,35.9441492
test0722-2,127.2444817,35.9424645
test0817,127.2415512,35.9424961
가는정이,127.10395792,35.59382187
가는정이,127.10387372,35.59397733
가련산로.원대한방병원,127.11554857,35.84538482
가련산로.원대한방병원,127.11545638,35.84571856
가리내로 백제교,127.12462519,35.83489768
가리내로 백제교,127.12591932,35.83487104
가소마을,127.19053678,35.85284536
가소마을,127.19046187,35.85298416
가정.봉판마을,127.19030753,36.03872776
가정.봉판마을,127.19037301,36.03883636
간중초교,127.18141087,35.89163192
간중초교,127.18160281,35.89181831
갈동마을,127.04562061,35.84491779
갈동마을,127.04554711,35.84478138
갈리마을,127.14783481,35.91581423
갈리마을,127.14778834,35.91594135
갈전,127.21540233,35.84511266
갈전,127.21524772,35.8450756
감수리,127.09991732,35.86663278
감수리,127.09995713,35.86702965
감수리주유소,127.1005553,35.865332
감수리주유소,127.1006158,35.8654224
강림교회,127.1415899,35.8401063
강림교회,127.1414516,35.8400743
개태마을,127.03334832,35.8226376
개태마을,127.0312898,35.8218052
갱금.오복마을,127.24747726,36.02095623
갱금.오복마을,127.24732057,36.02109946
거마평로안행교,127.11661714,35.80577968
거마평로이동교,127.11299794,35.81342648
거마평로이동교,127.11388786,35.81288005
거사리마을,127.22844773,36.04671223
거사리마을,127.22835701,36.04690993
거산황궁아파트,127.15251646,35.80588599
거성고속맨션.자원봉사센터.고속버스터미널입구,127.12760002,35.83348524
거성고속맨션.자원봉사센터.고속버스터미널입구,127.12722363,35.8335539
건지광장,127.1287653,35.8467267
건지산이지움,127.1477652,35.8453963
경기장거성아파트,127.12143588,35.83700157
경기장거성아파트,127.12108885,35.83689022
경찰청,127.1048341,35.82542716
경찰청,127.10481248,35.82516699
경천면사무소,127.25226028,36.02199559
경천면사무소,127.25192525,36.02222783
경천저수지,127.23856854,36.01978241
경천저수지,127.23861413,36.01965652
계월리,127.24494863,35.8058649
계월리,127.24542755,35.80601225
고당마을,127.15112865,35.87540405
고덕마을,127.1786263,35.7888747
고덕마을,127.178698,35.7889245
고려병원,127.16748582,35.83923015
고려병원,127.16745218,35.83951413
고려온천아파트,127.0537998,35.9240826
고려온천아파트,127.0537551,35.9241455
